#{"t_start": 1746049844.9104855, "env_id": "None"}
r,l,t
-1.0,3,13.604719
1.0,1,13.614959
-1.0,1,13.625178
1.0,1,13.635188
-1.0,1,13.645123
1.0,2,13.663958
-1.0,1,13.673877
-1.0,1,13.684149
-1.0,3,13.70741
1.0,1,13.717445
-1.0,3,13.746044
1.0,1,13.755579
-1.0,9,13.843401
1.0,3,13.87619
-1.0,1,13.886261
-1.0,2,13.906833
-1.0,4,13.947155
-1.0,1,13.957615
1.0,2,13.977162
1.0,1,13.987411
1.0,3,14.018769
1.0,1,14.029877
1.0,3,14.059783
-1.0,3,14.086979
-1.0,1,14.098697
-1.0,1,14.110495
1.0,1,14.123292
-1.0,1,14.134719
-1.0,1,14.146793
1.0,4,14.184917
1.0,1,14.195373
1.0,1,14.205788
-1.0,1,14.215396
1.0,1,14.223851
1.0,2,14.244171
1.0,1,14.255262
1.0,1,14.265312
-1.0,1,14.276646
1.0,1,14.286065
-1.0,1,14.296987
-1.0,2,14.315127
1.0,1,14.325308
1.0,1,14.336647
-1.0,1,14.347247
1.0,1,14.357712
-1.0,1,14.367656
1.0,2,14.387396
-1.0,2,14.407869
-1.0,3,14.437513
1.0,2,14.458201
-1.0,1,14.46785
-1.0,1,14.475938
-1.0,2,14.496875
1.0,1,14.50775
1.0,1,14.519502
-1.0,1,14.529781
1.0,1,14.539275
-1.0,1,14.549142
1.0,1,14.558676
-1.0,1,14.56948
1.0,3,14.600765
1.0,1,14.610795
-1.0,1,14.622632
-1.0,1,14.633534
-1.0,1,14.644223
1.0,1,14.656811
-1.0,1,14.673294
-1.0,1,14.685948
1.0,1,14.695712
1.0,1,14.7066
-1.0,2,14.729469
1.0,2,14.74791
-1.0,1,14.758806
1.0,1,14.768235
-1.0,1,14.778634
-1.0,1,14.787944
1.0,1,14.798261
-1.0,1,14.809764
-1.0,2,14.830021
1.0,1,14.847945
-1.0,4,14.893723
1.0,1,14.904058
-1.0,1,14.916292
-1.0,1,14.925078
-1.0,1,14.936348
-1.0,1,14.945172
1.0,2,14.964727
-1.0,2,14.98416
-1.0,1,14.994837
-1.0,1,15.00405
1.0,1,15.015258
1.0,1,15.025982
-1.0,1,15.036542
-1.0,1,15.04668
1.0,1,15.056675
-1.0,1,15.067363
1.0,1,15.082225
-1.0,1,15.092503
-1.0,4,15.140228
1.0,1,15.149477
1.0,1,15.161061
-1.0,1,15.170585
-1.0,1,15.181808
1.0,2,15.204065
-1.0,1,15.21452
-1.0,1,15.223629
1.0,1,15.232068
-1.0,2,15.252621
-1.0,2,15.272997
1.0,1,15.282852
-1.0,1,15.292237
1.0,2,15.31109
1.0,3,15.345964
1.0,1,15.366263
1.0,3,15.399149
-1.0,1,15.410248
-1.0,4,15.450157
1.0,1,15.460787
1.0,1,15.471
1.0,1,15.480244
-1.0,2,15.499829
-1.0,1,15.508634
1.0,1,15.519197
-1.0,1,15.53003
-1.0,3,15.565091
-1.0,1,15.575572
1.0,1,15.58693
1.0,1,15.597452
1.0,3,15.628221
1.0,2,15.646997
1.0,1,15.657052
1.0,1,15.668246
-1.0,5,15.712178
-1.0,2,15.731768
1.0,2,15.752366
-1.0,1,15.762903
1.0,1,15.773201
-1.0,1,15.782712
-1.0,2,15.801295
1.0,1,15.812124
1.0,1,15.823086
-1.0,1,15.832622
1.0,1,15.844181
1.0,1,15.857098
-1.0,2,15.881242
1.0,1,15.892195
1.0,1,15.90323
-1.0,1,15.913205
1.0,1,15.922605
1.0,1,15.931357
1.0,2,15.953356
-1.0,1,15.964017
1.0,1,15.973985
1.0,2,15.993131
1.0,1,16.003644
-1.0,1,16.013547
1.0,1,16.025131
1.0,1,16.035645
1.0,4,16.075022
-1.0,1,16.085953
-1.0,1,16.09638
1.0,2,16.11826
1.0,2,16.141432
1.0,2,16.163465
-1.0,1,16.174197
-1.0,1,16.184612
-1.0,2,16.204572
-1.0,1,16.214061
1.0,1,16.224284
1.0,1,16.234858
-1.0,1,16.245353
-1.0,1,16.25873
1.0,1,16.270689
-1.0,1,16.281494
1.0,2,16.304966
1.0,1,16.314984
1.0,1,16.324837
-1.0,3,16.352244
1.0,1,16.362629
-1.0,1,16.37329
1.0,1,16.383607
1.0,1,16.394515
1.0,1,16.40479
1.0,1,16.415941
1.0,1,16.425461
-1.0,2,16.445768
1.0,1,16.455854
1.0,3,16.484742
1.0,5,16.533431
1.0,1,16.544235
-1.0,2,16.564701
1.0,2,16.584073
-1.0,1,16.594626
-1.0,1,16.604647
-1.0,3,16.635782
1.0,4,16.676115
1.0,1,16.686568
1.0,1,16.696377
1.0,1,16.706931
1.0,2,16.726218
-1.0,2,16.750858
1.0,3,16.781565
-1.0,2,16.801537
1.0,1,16.811734
1.0,1,16.821458
1.0,3,16.872847
1.0,1,16.887172
1.0,2,16.911454
-1.0,1,16.920928
1.0,2,16.93957
-1.0,2,16.958222
-1.0,1,16.967654
-1.0,1,16.977796
1.0,1,16.988255
1.0,1,16.99895
-1.0,4,17.037029
1.0,1,17.051126
-1.0,1,17.063218
1.0,1,17.07623
1.0,1,17.086319
-1.0,1,17.101714
1.0,1,17.112128
-1.0,1,17.12512
-1.0,2,17.146815
1.0,1,17.159017
-1.0,1,17.171076
1.0,1,17.179979
-1.0,1,17.19085
-1.0,1,17.202061
-1.0,1,17.212055
-1.0,1,17.222103
-1.0,2,17.24517
-1.0,1,17.256992
-1.0,2,17.280672
1.0,3,17.31049
1.0,1,17.321086
-1.0,1,17.331542
1.0,1,17.341074
-1.0,1,17.353545
1.0,1,17.366187
-1.0,1,17.378079
-1.0,2,17.398762
-1.0,3,17.428485
1.0,1,17.438927
1.0,3,17.467926
1.0,1,17.478034
-1.0,1,17.487459
-1.0,2,17.507887
1.0,1,17.518812
1.0,1,17.528971
-1.0,5,17.576149
1.0,2,17.598646
1.0,1,17.611177
1.0,2,17.633342
-1.0,1,17.644431
-1.0,1,17.654825
-1.0,1,17.665203
1.0,3,17.703408
-1.0,1,17.71483
1.0,1,17.725057
1.0,1,17.735722
1.0,1,17.74744
1.0,1,17.75715
1.0,1,17.767695
-1.0,1,17.777246
1.0,1,17.788963
-1.0,1,17.799256
1.0,1,17.809934
1.0,2,17.830132
-1.0,2,17.851784
-1.0,1,17.8663
-1.0,1,17.878299
1.0,2,17.89919
-1.0,1,17.912137
1.0,1,17.92811
-1.0,2,17.95149
1.0,1,17.9636
1.0,1,17.973697
-1.0,1,17.983146
1.0,2,18.004434
-1.0,3,18.033511
-1.0,1,18.043942
1.0,1,18.053068
1.0,1,18.06356
-1.0,2,18.084068
-1.0,2,18.103575
-1.0,1,18.116281
-1.0,2,18.138065
-1.0,1,18.151867
1.0,1,18.163354
1.0,2,18.186627
1.0,1,18.197044
-1.0,1,18.205483
-1.0,3,18.234322
-1.0,2,18.251684
-1.0,3,18.282454
-1.0,1,18.297524
-1.0,2,18.32295
1.0,1,18.334295
1.0,1,18.344707
1.0,1,18.355666
-1.0,1,18.364672
-1.0,2,18.385401
1.0,2,18.406411
-1.0,1,18.416681
-1.0,1,18.426928
-1.0,1,18.437933
-1.0,2,18.458957
-1.0,1,18.468535
1.0,1,18.479055
1.0,1,18.487551
1.0,1,18.497274
1.0,1,18.50733
1.0,1,18.515826
-1.0,1,18.526634
1.0,2,18.547038
-1.0,2,18.567198
1.0,1,18.577653
1.0,1,18.587026
-1.0,1,18.598801
-1.0,4,18.642509
1.0,1,18.651039
-1.0,1,18.661393
-1.0,3,18.689769
-1.0,2,18.710891
1.0,2,18.730095
1.0,1,18.739486
-1.0,1,18.750511
1.0,1,18.759881
-1.0,1,18.770313
1.0,1,18.78153
-1.0,3,18.810837
-1.0,1,18.820007
1.0,2,18.845562
-1.0,3,18.87967
1.0,2,18.899247
-1.0,1,18.909869
-1.0,2,18.929701
1.0,1,18.939269
-1.0,2,18.967086
1.0,1,18.980467
-1.0,2,19.002493
1.0,1,19.012686
-1.0,2,19.033132
1.0,1,19.043359
-1.0,1,19.054146
1.0,1,19.064938
1.0,2,19.08512
-1.0,1,19.095977
-1.0,2,19.126353
-1.0,2,19.146646
1.0,2,19.168336
-1.0,2,19.185905
-1.0,5,19.232477
-1.0,2,19.250818
-1.0,1,19.260957
1.0,3,19.28732
1.0,1,19.297412
1.0,1,19.307729
1.0,3,19.334359
-1.0,3,19.361768
1.0,1,19.372222
-1.0,2,19.390832
-1.0,1,19.400727
-1.0,2,19.420088
-1.0,1,19.430416
1.0,1,19.440504
1.0,1,19.451145
1.0,1,19.461249
1.0,2,19.480181
-1.0,2,19.500126
-1.0,3,19.529174
1.0,2,19.546981
1.0,2,19.564765
-1.0,2,19.584341
-1.0,1,19.594522
-1.0,1,19.60458
1.0,4,19.642033
-1.0,1,19.651513
1.0,1,19.661736
1.0,2,19.680064
-1.0,3,19.706037
-1.0,1,19.716497
-1.0,1,19.726034
-1.0,1,19.735817
1.0,1,19.746194
-1.0,1,19.755895
1.0,1,19.765328
-1.0,1,19.774481
1.0,1,19.783359
1.0,1,19.793531
-1.0,1,19.803318
1.0,1,19.813018
-1.0,2,19.830899
1.0,1,19.842221
1.0,1,19.853316
-1.0,1,19.864212
-1.0,1,19.872941
-1.0,3,19.900881
-1.0,1,19.913804
-1.0,1,19.926717
-1.0,2,19.949184
-1.0,1,19.960126
1.0,3,19.988747
-1.0,1,19.99772
-1.0,2,20.017894
-1.0,1,20.02833
-1.0,2,20.046877
1.0,1,20.056513
1.0,1,20.066587
-1.0,3,20.097539
1.0,1,20.108695
-1.0,1,20.122028
-1.0,2,20.146936
1.0,1,20.158313
-1.0,1,20.167927
1.0,1,20.178641
1.0,1,20.187365
-1.0,1,20.197251
1.0,2,20.217559
-1.0,2,20.236911
1.0,2,20.257198
-1.0,2,20.276005
1.0,2,20.297499
1.0,1,20.307125
-1.0,1,20.318455
1.0,1,20.327729
1.0,1,20.336954
-1.0,1,20.34727
1.0,1,20.357647
1.0,3,20.389234
1.0,2,20.40906
1.0,1,20.419589
-1.0,2,20.445876
1.0,1,20.456572
1.0,1,20.464909
-1.0,2,20.484909
1.0,1,20.494835
-1.0,1,20.505071
1.0,1,20.514045
-1.0,1,20.523927
1.0,1,20.533658
-1.0,1,20.543982
-1.0,3,20.564748
1.0,2,20.576389
-1.0,1,20.585663
1.0,1,20.595578
-1.0,1,20.604824
-1.0,1,20.613692
1.0,2,20.633384
-1.0,1,20.643213
1.0,4,20.682147
-1.0,1,20.691292
1.0,1,20.701828
1.0,2,20.722212
1.0,4,20.755539
1.0,1,20.768217
1.0,1,20.780007
1.0,1,20.790689
-1.0,1,20.801715
1.0,2,20.819018
-1.0,1,20.828672
-1.0,2,20.853675
1.0,4,20.896687
-1.0,3,20.925214
1.0,1,20.935251
-1.0,1,20.945177
1.0,1,20.956136
-1.0,2,20.97741
-1.0,2,20.996347
1.0,2,21.01669
-1.0,1,21.027009
1.0,2,21.048516
-1.0,2,21.068607
-1.0,1,21.078755
1.0,1,21.088369
1.0,1,21.099901
1.0,2,21.123452
1.0,1,21.134984
1.0,3,21.167969
-1.0,1,21.178141
-1.0,1,21.187839
-1.0,2,21.200927
-1.0,1,21.212039
1.0,1,21.221537
-1.0,1,21.232062
-1.0,1,21.241991
1.0,3,21.27274
1.0,1,21.282532
1.0,1,21.291554
-1.0,1,21.30166
-1.0,2,21.320479
-1.0,1,21.330086
-1.0,1,21.339896
1.0,1,21.349675
1.0,2,21.369174
1.0,3,21.397106
-1.0,1,21.406986
-1.0,1,21.416509
-1.0,3,21.445318
1.0,2,21.46534
1.0,2,21.485126
-1.0,3,21.514758
-1.0,1,21.524301
1.0,1,21.534444
-1.0,2,21.554029
-1.0,1,21.563721
-1.0,3,21.593189
-1.0,2,21.61198
-1.0,1,21.621914
1.0,1,21.632313
-1.0,3,21.662694
-1.0,2,21.6811
1.0,1,21.691124
-1.0,1,21.701101
1.0,2,21.722341
-1.0,2,21.743431
-1.0,4,21.78774
1.0,1,21.798558
-1.0,1,21.808234
1.0,6,21.876936
1.0,1,21.885783
-1.0,1,21.895738
1.0,3,21.926661
1.0,1,21.937422
-1.0,1,21.948006
1.0,1,21.957685
1.0,1,21.967718
-1.0,2,21.989013
-1.0,2,22.010579
1.0,1,22.022277
1.0,1,22.033926
-1.0,3,22.069583
1.0,2,22.09112
-1.0,1,22.101537
1.0,2,22.124897
-1.0,1,22.13354
-1.0,1,22.144541
1.0,1,22.155495
1.0,2,22.176584
-1.0,3,22.20539
1.0,1,22.215604
1.0,1,22.226118
1.0,1,22.237154
-1.0,2,22.260413
-1.0,1,22.271315
1.0,1,22.282092
1.0,2,22.303133
1.0,1,22.312867
1.0,1,22.322953
1.0,2,22.344085
1.0,1,22.353993
1.0,1,22.364702
-1.0,2,22.384043
1.0,1,22.393978
1.0,1,22.403638
-1.0,2,22.422579
1.0,2,22.441603
-1.0,1,22.452786
1.0,3,22.481287
1.0,1,22.493564
1.0,1,22.504104
-1.0,1,22.514214
-1.0,1,22.525247
-1.0,1,22.53626
1.0,1,22.546631
1.0,1,22.557662
1.0,1,22.56793
-1.0,1,22.578606
-1.0,1,22.589061
1.0,1,22.599775
-1.0,1,22.611631
-1.0,1,22.624563
-1.0,1,22.642547
-1.0,1,22.664553
-1.0,1,22.679831
-1.0,1,22.69508
1.0,1,22.70995
-1.0,3,22.747437
-1.0,1,22.760487
1.0,1,22.773123
1.0,3,22.812459
-1.0,1,22.825309
-1.0,2,22.850195
-1.0,2,22.872945
1.0,1,22.932574
-1.0,1,22.945839
-1.0,1,22.959468
-1.0,3,23.00271
-1.0,2,23.029778
-1.0,3,23.068525
-1.0,3,23.109024
1.0,1,23.124108
-1.0,3,23.162588
1.0,1,23.176568
1.0,2,23.201141
1.0,1,23.214719
-1.0,1,23.225394
1.0,1,23.237061
-1.0,1,23.249643
-1.0,2,23.273894
-1.0,2,23.298661
1.0,1,23.309984
1.0,1,23.323607
-1.0,1,23.33834
1.0,1,23.35261
1.0,1,23.366886
1.0,3,23.402221
-1.0,2,23.427035
-1.0,2,23.450888
1.0,2,23.474991
-1.0,2,23.499252
-1.0,2,23.515096
-1.0,1,23.527998
1.0,1,23.539706
-1.0,1,23.555835
-1.0,2,23.578724
-1.0,1,23.592066
-1.0,2,23.618014
-1.0,1,23.630339
1.0,1,23.642686
-1.0,2,23.66749
1.0,1,23.680993
-1.0,1,23.693505
-1.0,2,23.719676
-1.0,1,23.733954
1.0,3,23.765018
1.0,1,23.777992
-1.0,2,23.803547
1.0,1,23.815872
1.0,1,23.828292
1.0,1,23.841613
1.0,3,23.880601
-1.0,3,23.917227
-1.0,1,23.930532
-1.0,2,23.956906
1.0,1,23.970011
-1.0,2,23.99437
1.0,1,24.007007
-1.0,2,24.034109
1.0,1,24.045993
-1.0,3,24.0771
1.0,1,24.087378
-1.0,1,24.098128
1.0,1,24.111038
-1.0,3,24.146386
1.0,1,24.158566
-1.0,1,24.170153
-1.0,1,24.181576
1.0,1,24.190413
1.0,1,24.201242
1.0,3,24.231103
-1.0,1,24.239462
1.0,3,24.271355
1.0,4,24.311779
-1.0,1,24.323274
-1.0,1,24.333066
1.0,1,24.343894
-1.0,1,24.352962
-1.0,1,24.363931
1.0,2,24.388383
-1.0,2,24.412464
-1.0,1,24.42326
1.0,1,24.43705
-1.0,2,24.464978
1.0,1,24.477332
1.0,1,24.489527
1.0,2,24.514651
-1.0,4,24.562213
-1.0,1,24.573216
1.0,1,24.587542
-1.0,1,24.599078
1.0,1,24.611281
1.0,2,24.637122
1.0,2,24.663321
-1.0,4,24.711084
1.0,1,24.722311
1.0,1,24.734732
1.0,2,24.749253
-1.0,1,24.761601
-1.0,1,24.773151
1.0,1,24.78441
1.0,1,24.795772
-1.0,1,24.808761
1.0,1,24.821412
-1.0,1,24.835251
-1.0,2,24.860603
-1.0,3,24.898897
1.0,1,24.911899
1.0,1,24.924705
-1.0,1,24.937072
-1.0,1,24.95008
1.0,1,24.962816
1.0,1,24.97407
1.0,1,24.985981
1.0,1,24.997537
-1.0,1,25.010778
